,wallsMaterial,floorNumber,floorsTotal,totalArea,kitchenArea,latitude,longitude,price_category
24617,brick,2,9.0,55.0,8.0,55.738738,37.538449,0
24618,brick,2,9.0,55.0,8.0,55.738738,37.538449,0
24619,brick,2,9.0,55.0,8.0,55.738652,37.538206,0
24620,brick,2,14.0,55.0,8.5,55.711701,37.509622,0
24621,monolith,2,25.0,55.0,9.0,55.724753,37.467302,0
24622,brick,2,9.0,55.0,8.0,55.738738,37.538449,0
24623,brick,2,9.0,55.0,8.0,55.738652,37.538206,0
24624,block,2,22.0,56.1,10.1,55.69299300000001,37.501205,0
24625,panel,6,16.0,55.7,12.0,55.659785,37.483373,0
24626,monolith,4,15.0,55.0,8.4,55.738247,37.4296,0
24627,panel,17,17.0,56.4,10.2,55.739463,37.490892,0
24628,brick,4,8.0,56.6,8.4,55.735393,37.522117,0
24629,brick,11,13.0,55.0,9.0,55.737557,37.516368,0
24630,monolith,2,23.0,56.0,9.0,55.737208,37.493084,0
24631,monolith,2,23.0,57.0,8.5,55.737208,37.493084,0
24632,brick,4,9.0,56.0,10.0,55.749172,37.560538,0
24633,monolith,15,22.0,56.6,10.4,55.736615,37.466009,0
24634,brick,5,12.0,56.0,8.0,55.744977,37.549866,0
24635,brick,10,14.0,55.1,10.0,55.72616800000001,37.529133,0
24636,brick,4,10.0,57.0,10.0,55.748594,37.558571,0
24637,monolithBrick,5,22.0,55.0,10.0,55.712127,37.49939000000001,0
24638,brick,6,8.0,56.0,9.0,55.749846,37.567051,0
24639,whiteBrick,4,10.0,56.0,8.2,55.75072700000001,37.562272,0
24640,whiteBrick,5,11.0,56.0,8.0,55.741475,37.535826,0
24641,monolith,7,22.0,57.0,15.0,55.71304,37.500953,1
24642,monolithBrick,4,22.0,57.0,14.0,55.71304,37.500953,1
24643,whiteBrick,7,8.0,56.4,10.0,55.75157900000001,37.564203000000006,1
24644,panel,10,14.0,55.0,11.0,55.64244300000001,37.342984,0
24645,panel,4,17.0,55.0,9.5,55.64700500000001,37.344116,0
24646,brick,5,5.0,56.7,6.0,55.716767,37.436571,0
24647,brick,1,9.0,55.0,6.0,55.72417,37.419332,0
24648,panel,8,9.0,55.8,6.7,55.704103,37.472755,0
24649,panel,6,9.0,56.0,6.5,55.650333,37.399488,0
24650,panel,12,17.0,57.0,10.0,55.643185,37.367203,0
24651,panel,10,16.0,57.0,10.5,55.672016000000006,37.450549,0
24652,panel,10,22.0,57.0,10.0,55.64040600000001,37.371892,0
24653,panel,1,16.0,56.0,10.3,55.730304,37.422916,0
24654,panel,10,14.0,56.0,12.0,55.706599,37.399677,0
24655,panel,15,16.0,56.0,10.0,55.70468100000001,37.46061,0
24656,panel,9,22.0,57.0,10.0,55.64840699999999,37.38675,0
24657,panel,13,18.0,57.0,9.5,55.713785,37.400674,0
24658,panel,25,25.0,55.1,8.5,55.7333,37.538925,0
24659,brick,4,5.0,56.2,9.0,55.680321,37.457457,0
24660,panel,2,17.0,56.0,10.0,55.747753,37.421928,0
24661,panel,16,16.0,56.0,9.2,55.671884,37.461957,0
24662,panel,14,14.0,56.4,3.6,55.681849,37.451689,0
24663,panel,8,17.0,55.7,10.0,55.731288,37.412981,0
24664,brick,4,9.0,56.0,5.5,55.745863,37.496614,0
24665,brick,2,6.0,58.7,7.0,55.741759,37.543345,0
24666,monolith,2,21.0,58.0,11.6,55.70409300000001,37.493156,0
24667,panel,2,9.0,58.8,6.0,55.712878,37.401465,0
24668,brick,9,9.0,58.1,5.5,55.74298,37.49241,0
24669,panel,3,20.0,58.0,10.0,55.644227,37.38878,0
24670,panel,1,16.0,58.0,8.0,55.66121700000001,37.493551,0
24671,panel,16,23.0,58.0,8.0,55.675798,37.443973,0
24672,panel,22,22.0,59.0,11.0,55.696798,37.511904,0
24673,panel,16,16.0,58.4,11.4,55.659302,37.497153,0
24674,monolith,9,24.0,59.0,8.0,55.675798,37.443973,0
24675,monolith,5,18.0,58.4,10.1,55.723349,37.39965,0
24676,panel,12,22.0,58.4,10.0,55.63810400000001,37.350602,0
24677,monolith,3,12.0,58.0,10.0,55.644227,37.38878,0
24678,monolith,7,19.0,59.0,12.0,55.643053,37.391107,0
24679,panel,1,16.0,58.0,8.0,55.66121700000001,37.493551,0
24680,panel,6,17.0,58.0,10.5,55.69937,37.503729,0
24681,panel,7,9.0,58.3,6.0,55.733082,37.441395,0
24682,panel,2,5.0,59.0,7.0,55.712396,37.481406,0
24683,whiteBrick,2,6.0,58.7,7.0,55.741759,37.543345,0
24684,panel,5,17.0,59.0,10.0,55.74838199999999,37.417194,0
24685,monolith,15,17.0,58.7,10.2,55.645126,37.390712,0
24686,panel,2,9.0,58.1,7.0,55.720352,37.392095,0
24687,brick,5,5.0,59.0,6.4,55.723526,37.417131,0
24688,block,7,9.0,59.0,6.6,55.708034,37.478962,0
24689,panel,2,19.0,58.1,12.2,55.64314399999999,37.38499,0
24690,panel,1,5.0,58.8,6.0,55.678412,37.455247,0
24691,monolith,2,19.0,58.1,12.2,55.64314399999999,37.38499,0
24692,panel,17,25.0,59.0,11.0,55.649027,37.343299,0
24693,monolith,17,25.0,58.0,11.0,55.649027,37.343299,0
24694,panel,6,9.0,58.9,7.0,55.74383100000001,37.398204,0
24695,panel,7,9.0,59.0,6.0,55.665777,37.496695,0
24696,panel,2,17.0,58.9,12.8,55.650287,37.411211,0
24697,panel,19,24.0,58.1,10.4,55.711448,37.39320900000001,0
24698,panel,8,22.0,59.0,10.0,55.705995,37.398419,0
24699,panel,2,9.0,58.8,5.9,55.73701,37.435178,0
24700,monolithBrick,12,12.0,59.0,12.0,55.643053,37.391107,0
24701,panel,4,9.0,58.5,6.6,55.698477,37.488556,0
24702,panel,4,5.0,58.3,5.8,55.7216,37.425459,0
24703,panel,6,17.0,58.5,10.0,55.6911,37.494045,0
24704,brick,9,9.0,58.0,5.5,55.74298,37.49241,0
24705,panel,6,12.0,58.9,6.1,55.676352,37.510457,0
24706,panel,13,17.0,58.0,10.0,55.771089,37.408921,0
24707,brick,3,5.0,58.0,9.0,55.720814,37.435951,0
24708,panel,4,10.0,59.0,7.0,55.656077,37.49179,0
24709,panel,4,9.0,58.9,7.0,55.656077,37.49179,0
24710,block,14,17.0,58.4,10.2,55.740005,37.438206,0
24711,panel,7,25.0,58.7,10.1,55.73820600000001,37.425728,0
24712,panel,16,17.0,58.0,10.0,55.75897,37.413942,0
24713,panel,11,17.0,58.0,10.0,55.739002,37.495123,0
24714,brick,6,6.0,58.0,8.5,55.741759,37.543345,0
24715,monolith,3,17.0,58.0,10.0,55.672428,37.501744,0
24716,monolith,3,17.0,58.0,10.1,55.672428,37.501744,0
24717,monolith,3,17.0,58.0,10.0,55.672428,37.501744,0
24718,panel,3,17.0,58.0,10.0,55.672428,37.501744,0
24719,monolith,11,32.0,59.0,14.0,55.7559,37.506675,0
24720,brick,4,9.0,58.0,9.0,55.749172,37.560538,0
24721,brick,4,9.0,58.0,9.5,55.749172,37.560538,0
24722,brick,4,9.0,58.0,10.0,55.749172,37.560538,0
24723,monolith,22,32.0,59.0,10.0,55.7559,37.506675,0
24724,brick,8,8.0,58.0,10.0,55.735393,37.522117,0
24725,brick,4,10.0,58.0,10.0,55.75072700000001,37.562272,0
24726,brick,5,8.0,58.0,9.8,55.735049,37.522054,0
24727,panel,24,25.0,59.0,10.0,55.675555,37.498932,1
24728,panel,7,25.0,59.0,9.0,55.635243,37.410699,0
24729,panel,7,9.0,59.0,5.8,55.64895600000001,37.414167,0
24730,panel,17,17.0,59.0,12.0,55.63875,37.358166,0
24731,monolith,4,23.0,58.0,10.0,55.641239,37.35981,0
24732,panel,4,22.0,58.0,9.0,55.645141,37.4167,0
24733,brick,2,5.0,58.0,15.0,55.73144,37.426896,0
24734,panel,9,13.0,58.3,12.0,55.677336,37.447485,0
24735,monolith,3,16.0,58.0,10.0,55.668935,37.465002,0
24736,panel,16,17.0,59.0,13.0,55.65306500000001,37.416538,0
24737,panel,12,12.0,59.0,12.5,55.643053,37.391107,0
24738,panel,14,17.0,58.8,12.8,55.65104399999999,37.412622,0
24739,panel,8,22.0,59.0,10.0,55.705995,37.398419,0
24740,panel,8,10.0,58.0,10.0,55.644227,37.38878,0
24741,panel,11,18.0,58.8,10.1,55.709845,37.393398,0
24742,panel,1,16.0,58.0,8.0,55.66121700000001,37.493551,0
24743,panel,2,17.0,59.0,10.0,55.69110500000001,37.49541,0
24744,panel,14,22.0,59.0,10.5,55.711042000000006,37.396542,0
24745,monolith,8,17.0,58.7,9.3,55.736513,37.41264,0
24746,panel,17,17.0,58.0,10.3,55.756903,37.408993,0
24747,panel,11,17.0,58.4,10.1,55.739002,37.495123,0
24748,panel,13,22.0,58.0,9.0,55.733128,37.464149,0
24749,monolith,3,17.0,58.0,8.0,55.672428,37.501744,0
24750,monolith,13,17.0,59.0,10.0,55.738399,37.501052,0
24751,whiteBrick,4,9.0,58.0,9.3,55.749172,37.560538,0
24752,monolith,23,25.0,58.0,9.5,55.730487,37.463493,0
24753,brick,2,10.0,58.0,8.0,55.744526,37.545267,1
24754,whiteBrick,6,8.0,58.0,8.0,55.745564,37.551214,1
24755,panel,1,5.0,58.0,6.0,55.68297,37.454699,0
24756,brick,5,5.0,58.0,6.0,55.676077,37.450189,0
24757,monolith,9,23.0,58.2,8.4,55.675798,37.443973,0
24758,panel,22,22.0,58.7,10.2,55.69008,37.492006,0
24759,monolithBrick,7,16.0,62.0,12.0,55.753686,37.513143,0
24760,monolithBrick,8,16.0,62.0,12.0,55.753686,37.513143,0
24761,monolithBrick,3,39.0,60.0,18.0,55.716037,37.503998,1
24762,monolithBrick,9,23.0,61.04,11.9,55.71788299999999,37.426573,0
24763,monolith,12,31.0,60.0,15.0,55.741738,37.416691,0
24764,monolithBrick,7,9.0,60.8,10.0,55.750651,37.503037,0
24765,monolithBrick,12,32.0,61.3,10.0,55.741738,37.416691,1
24766,whiteBrick,7,7.0,60.0,12.0,55.749826,37.570815,1
24767,panel,14,14.0,61.0,9.0,55.64191,37.349362,0
24768,panel,10,24.0,60.0,12.0,55.675433,37.444889,0
24769,monolith,8,31.0,61.0,15.0,55.7559,37.506675,0
24770,monolith,11,16.0,60.6,13.4,55.665919,37.469593,0
24771,monolithBrick,17,24.0,60.2,5.0,55.666548,37.471093,0
24772,monolith,2,39.0,60.0,25.0,55.716037,37.503998,1
24773,panel,14,14.0,60.7,8.7,55.64191,37.349362,0
24774,panel,2,17.0,60.0,13.0,55.639664,37.397907,0
24775,panel,3,23.0,62.0,13.0,55.655899,37.401123,0
24776,panel,8,25.0,60.32,10.0,55.68975,37.467518,0
24777,monolith,14,25.0,61.0,9.0,55.73530699999999,37.420132,0
24778,monolith,7,21.0,62.0,15.0,55.756386,37.50884,0
24779,panel,9,17.0,60.1,12.0,55.736174,37.404672,0
24780,panel,13,17.0,60.0,11.0,55.733599,37.470114,0
24781,monolithBrick,5,22.0,62.0,9.0,55.735657,37.432537,0
24782,monolith,2,25.0,62.0,14.2,55.68511700000001,37.490775,0
24783,monolith,3,17.0,61.5,13.7,55.699771,37.505669,0
24784,monolithBrick,9,16.0,62.0,22.5,55.753686,37.513143,0
24785,monolith,13,25.0,61.3,12.0,55.75471999999999,37.509864,0
24786,brick,3,10.0,60.1,20.3,55.75072700000001,37.562272,1
24787,monolith,5,30.0,62.0,20.0,55.652659,37.475513,1
24788,monolithBrick,7,12.0,60.0,12.0,55.72455,37.527956,1
24789,panel,15,22.0,60.0,11.0,55.764764,37.48735300000001,0
24790,panel,10,17.0,60.0,10.5,55.77117,37.41078,0
24791,panel,3,17.0,60.0,10.5,55.75879200000001,37.410457,0
24792,panel,14,17.0,62.0,9.0,55.742367,37.417706,0
24793,panel,15,16.0,61.61,21.0,55.731516000000006,37.458615,0
24794,monolithBrick,8,25.0,61.2,11.2,55.682351,37.461337,0
24795,block,1,1.0,60.0,8.0,55.605958,37.299641,0
24796,panel,9,9.0,60.0,6.5,55.65388299999999,37.412379,0
24797,panel,9,9.0,60.0,6.0,55.654696,37.411113,0
24798,panel,4,22.0,60.0,10.0,55.641829,37.360699,0
24799,panel,4,14.0,60.7,8.0,55.643048,37.345311,0
24800,monolith,5,20.0,60.0,12.6,55.644694,37.38610300000001,0
24801,panel,5,14.0,60.1,8.2,55.640853,37.345437,0
24802,panel,15,16.0,60.3,11.6,55.722958,37.384675,0
24803,panel,12,12.0,62.0,7.0,55.65784,37.412164,0
24804,panel,12,22.0,60.0,10.2,55.710666,37.391987,0
24805,panel,2,9.0,60.0,6.0,55.66549200000001,37.498743,0
24806,panel,7,9.0,60.3,7.0,55.74383100000001,37.398204,0
24807,monolith,4,16.0,60.1,17.0,55.644704,37.385861,0
24808,monolith,4,17.0,60.5,17.0,55.644704,37.385861,0
24809,monolith,6,17.0,62.0,17.0,55.644704,37.385861,0
24810,panel,15,19.0,61.2,17.0,55.644704,37.385861,0
24811,panel,14,15.0,60.0,13.1,55.681691,37.45427700000001,0
24812,panel,9,17.0,60.7,13.0,55.707527,37.395931,0
24813,panel,20,22.0,60.0,11.0,55.688411,37.462631,0
24814,brick,2,4.0,60.4,7.0,55.74166700000001,37.39485300000001,0
24815,panel,8,9.0,60.4,9.0,55.74774300000001,37.403863,0
24816,monolith,15,25.0,60.0,10.0,55.649027,37.343299,0
24817,panel,6,9.0,60.0,6.6,55.698046,37.491242,0
24818,panel,9,12.0,61.0,8.0,55.728413,37.41449,0
24819,panel,8,12.0,60.5,8.5,55.728089,37.421488,0
24820,panel,10,14.0,60.0,11.5,55.66149100000001,37.415613,0
24821,panel,1,17.0,60.0,11.0,55.757009,37.411472,0
24822,monolithBrick,13,22.0,62.0,12.5,55.65045500000001,37.388008,0
24823,monolithBrick,14,18.0,60.0,14.1,55.682351,37.461337,0
24824,panel,7,17.0,60.0,9.0,55.69937,37.503729,0
24825,monolith,8,25.0,62.0,10.0,55.7559,37.506675,0
24826,panel,9,17.0,61.0,10.0,55.730497,37.461373,0
24827,panel,9,17.0,60.6,12.0,55.73445600000001,37.412415,0
24828,monolith,10,32.0,60.0,15.0,55.7559,37.506675,0
24829,monolith,8,31.0,60.4,10.0,55.7559,37.506675,0
24830,panel,3,9.0,60.4,8.7,55.731967,37.442742,0
24831,block,8,9.0,62.0,7.0,55.664984,37.500127,0
24832,brick,8,9.0,62.0,7.0,55.664984,37.500127,0
24833,monolith,23,25.0,60.0,9.0,55.724753,37.467302,0
24834,brick,7,8.0,60.0,11.9,55.7267,37.531577,0
24835,brick,8,9.0,60.0,10.0,55.749172,37.560538,0
24836,monolith,5,17.0,62.0,9.0,55.735657,37.432537,0
24837,monolith,5,17.0,62.0,8.0,55.735657,37.432537,0
24838,panel,15,17.0,60.0,13.0,55.687594,37.46547,0
24839,monolith,7,23.0,60.0,25.0,55.746122,37.405094,1
24840,monolith,7,23.0,60.0,10.0,55.746122,37.405094,1
24841,monolith,24,25.0,60.0,10.0,55.675555,37.498932,1
24842,brick,1,9.0,60.0,9.0,55.739184,37.51553300000001,1
24843,brick,3,10.0,60.0,25.0,55.745924,37.549264,1
24844,whiteBrick,3,6.0,60.0,9.3,55.745924,37.549264,1
24845,monolith,8,26.0,60.0,17.0,55.717847,37.512191,1
24846,monolith,2,39.0,60.0,16.0,55.716037,37.503998,1
24847,monolith,17,36.0,60.0,26.0,55.726558,37.495869,1
24848,monolith,2,36.0,60.0,25.0,55.716037,37.503998,1
24849,brick,8,12.0,62.0,8.0,55.74408,37.541512,1
24850,monolithBrick,8,15.0,61.0,13.0,55.743684,37.548851,1
24851,panel,6,9.0,60.0,6.0,55.63589399999999,37.383965,0
24852,panel,7,16.0,62.0,12.0,55.722958,37.384675,0
24853,panel,9,14.0,62.0,8.0,55.642464,37.344341,0
24854,panel,9,14.0,61.0,8.3,55.642464,37.344341,0
24855,panel,7,9.0,60.0,6.0,55.71119399999999,37.408786,0
24856,panel,8,22.0,60.0,10.0,55.71125,37.40407,0
24857,panel,6,16.0,62.0,11.0,55.722958,37.384675,0
24858,monolith,4,17.0,61.2,17.0,55.644704,37.385861,0
24859,brick,2,5.0,60.0,9.0,55.719531,37.429618,0
24860,panel,5,22.0,60.0,10.0,55.710666,37.391987,0
24861,monolith,4,16.0,62.0,17.0,55.644227,37.38878,0
24862,monolith,15,17.0,61.2,17.0,55.644704,37.385861,0
24863,panel,2,9.0,62.0,7.0,55.707476,37.478459,0
24864,panel,9,17.0,60.0,12.9,55.64004499999999,37.400432,0
24865,monolith,12,17.0,60.3,12.0,55.68695400000001,37.46123,0
24866,panel,5,9.0,61.1,8.7,55.73824200000001,37.418416,0
24867,panel,2,22.0,60.0,10.4,55.721823,37.463484,0
24868,monolith,12,23.0,60.0,14.0,55.72245600000001,37.438781,0
24869,panel,3,16.0,61.0,12.0,55.737324,37.476833,0
24870,panel,9,17.0,62.0,12.0,55.73445600000001,37.412415,0
24871,monolith,3,24.0,60.0,12.0,55.770897,37.37809,0
24872,brick,5,5.0,61.0,8.5,55.740912,37.547558,0
24873,panel,8,17.0,60.5,7.0,55.728327,37.520752,0
24874,brick,13,14.0,62.0,8.2,55.73235699999999,37.44921,0
24875,brick,3,8.0,60.0,7.0,55.745564,37.551214,0
24876,monolith,2,28.0,61.5,19.4,55.747003,37.40698,0
24877,monolith,8,17.0,60.0,10.0,55.736513,37.41264,0
24878,block,3,9.0,62.0,10.0,55.737157,37.430723,0
24879,monolithBrick,11,15.0,61.0,15.0,55.735657,37.432537,0
24880,monolith,11,17.0,61.0,9.0,55.736513,37.41264,0
24881,brick,12,15.0,61.0,11.0,55.717797,37.44488,0
24882,brick,13,27.0,60.0,10.0,55.73820600000001,37.425728,0
24883,panel,21,22.0,60.0,10.5,55.721823,37.463484,0
24884,monolith,20,24.0,60.0,8.0,55.770775,37.376626,0
24885,panel,6,10.0,60.0,6.5,55.672935,37.517608,0
24886,brick,11,14.0,62.0,9.0,55.73235699999999,37.44921,0
24887,monolith,6,22.0,62.0,11.0,55.65045500000001,37.388008,0
24888,brick,5,14.0,60.0,9.0,55.728408,37.534972,0
24889,panel,16,16.0,62.0,12.0,55.737324,37.476833,0
24890,panel,20,25.0,61.3,10.0,55.68855799999999,37.465901,0
24891,monolithBrick,3,16.0,63.0,10.0,55.753686,37.513143,0
24892,monolith,11,16.0,64.0,15.0,55.753686,37.513143,0
24893,monolithBrick,3,16.0,63.0,15.0,55.753686,37.513143,0
24894,monolithBrick,7,16.0,63.0,15.0,55.753686,37.513143,0
24895,monolithBrick,11,16.0,64.0,8.0,55.753686,37.513143,0
24896,monolithBrick,3,16.0,63.0,22.0,55.753686,37.513143,0
24897,monolithBrick,3,16.0,63.0,9.0,55.753686,37.513143,0
24898,panel,9,12.0,63.0,7.0,55.694378,37.48778400000001,0
24899,monolith,10,23.0,63.8,12.2,55.71788299999999,37.426573,0
24900,monolith,21,23.0,63.04,11.9,55.71788299999999,37.426573,0
24901,monolith,22,30.0,63.9,17.0,55.741323,37.417733,0
24902,panel,1,12.0,63.2,8.0,55.693495,37.489616,0
24903,panel,7,12.0,64.0,7.0,55.71688399999999,37.396254,0
24904,panel,9,9.0,63.1,6.0,55.707765,37.459343,0
24905,panel,1,16.0,63.0,16.0,55.67593000000001,37.456217,0
24906,monolith,19,25.0,63.7,12.0,55.682351,37.461337,0
24907,monolith,7,23.0,64.0,11.0,55.744267,37.415029,0
24908,whiteBrick,3,9.0,63.1,13.0,55.740639,37.538269,0
24909,brick,3,11.0,64.0,9.0,55.75157900000001,37.564203000000006,1
24910,monolith,6,31.0,63.0,10.0,55.652659,37.475513,1
24911,monolith,19,23.0,63.0,10.0,55.717928,37.447584,1
24912,panel,10,10.0,64.0,7.0,55.712426,37.392706,0
24913,monolith,4,25.0,63.0,10.0,55.682351,37.461337,0
24914,brick,8,15.0,63.0,9.0,55.738074,37.564446,0
24915,panel,9,9.0,63.1,6.0,55.707765,37.459343,0
24916,panel,6,12.0,64.0,10.0,55.736899,37.422782,0
24917,panel,2,9.0,63.1,5.9,55.656103,37.410277,0
24918,panel,9,9.0,63.1,6.0,55.707765,37.459343,0
24919,panel,16,17.0,64.0,13.0,55.639664,37.397907,0
24920,panel,5,9.0,63.0,6.0,55.706903,37.461095,0
24921,panel,2,12.0,64.0,7.1,55.694378,37.48778400000001,0
24922,panel,7,16.0,63.0,7.0,55.656814,37.468227,0
24923,panel,6,12.0,64.0,10.0,55.736899,37.422782,0
24924,panel,10,13.0,64.0,9.0,55.665304000000006,37.508813,0
24925,panel,4,9.0,63.0,6.5,55.656077,37.49179,0
24926,panel,9,9.0,64.0,6.0,55.732965,37.436993,0
24927,block,8,14.0,64.0,9.4,55.73223,37.539078,0
24928,panel,8,9.0,64.0,7.0,55.655468000000006,37.484667,0
24929,monolith,7,21.0,63.0,15.0,55.756386,37.50884,0
24930,panel,5,25.0,64.0,10.5,55.68855799999999,37.465901,0
24931,monolith,7,21.0,64.0,15.0,55.756386,37.50884,0
24932,monolith,21,22.0,64.0,11.0,55.68855799999999,37.465901,0
24933,monolithBrick,3,16.0,64.0,10.0,55.753686,37.513143,0
24934,monolithBrick,15,16.0,63.0,15.0,55.753686,37.513143,0
24935,panel,11,25.0,64.0,12.0,55.689923,37.470401,0
24936,monolith,11,16.0,64.0,12.0,55.753686,37.513143,1
24937,whiteBrick,8,9.0,63.0,9.0,55.748594,37.558571,1
24938,brick,4,11.0,64.0,10.0,55.75072700000001,37.562272,1
24939,monolith,8,33.0,64.0,14.0,55.652796,37.474192,1
24940,panel,6,17.0,63.0,13.5,55.61084,37.25441,0
24941,panel,9,12.0,63.0,7.0,55.71883100000001,37.39135,0
24942,brick,5,5.0,63.0,7.5,55.713775,37.406873,0
24943,panel,8,9.0,63.0,8.5,55.71234499999999,37.407816,0
24944,panel,11,12.0,63.0,6.5,55.68264,37.458346,0
24945,panel,11,12.0,64.0,6.7,55.711579,37.485286,0
24946,panel,8,12.0,63.0,7.1,55.693495,37.489616,0
24947,panel,2,9.0,63.4,6.0,55.719678,37.451707,0
24948,panel,8,17.0,63.0,11.0,55.68640600000001,37.460394,0
24949,panel,10,14.0,63.5,9.3,55.676945,37.457133,0
24950,panel,4,12.0,63.26,6.1,55.694079,37.488943,0
24951,panel,5,10.0,63.0,7.0,55.676352,37.510457,0
24952,panel,9,12.0,63.4,7.0,55.655447,37.487829,0
24953,panel,14,14.0,64.0,12.0,55.686939,37.465191,0
24954,panel,1,12.0,63.0,6.5,55.74825,37.40062,0
24955,panel,1,12.0,63.0,9.0,55.72728299999999,37.522054,0
24956,panel,7,25.0,64.0,12.0,55.690811,37.469081,0
24957,monolith,4,22.0,64.0,12.0,55.743578,37.41843400000001,0
24958,monolith,11,16.0,64.0,8.0,55.753686,37.513143,0
24959,brick,3,8.0,64.0,9.0,55.739823,37.538512,0
24960,monolith,29,37.0,63.0,15.0,55.652999,37.47174,1
24961,monolith,14,31.0,63.0,9.0,55.652659,37.475513,1
24962,monolith,14,31.0,63.0,9.0,55.652659,37.475513,1
24963,brick,10,12.0,63.0,9.1,55.737507,37.518371,1
24964,monolith,28,37.0,63.0,15.0,55.652999,37.47174,1
24965,monolith,14,23.0,63.04,14.0,55.718709,37.424902,0
24966,panel,13,14.0,63.0,8.4,55.714257,37.41278300000001,0
24967,panel,6,12.0,63.0,10.0,55.732839,37.461867,0
24968,panel,8,12.0,66.0,7.0,55.72694300000001,37.476366,0
24969,brick,4,5.0,65.0,8.0,55.7307,37.425306,0
24970,monolith,3,24.0,65.0,16.5,55.770775,37.376626,0
24971,monolith,18,22.0,66.5,9.0,55.73643199999999,37.432501,0
24972,monolithBrick,4,18.0,67.0,17.0,55.682351,37.461337,0
24973,monolith,4,30.0,65.0,12.0,55.652659,37.475513,1
24974,monolithBrick,5,33.0,65.0,15.0,55.652659,37.475513,1
24975,panel,5,16.0,67.0,9.0,55.740639,37.428082,0
24976,monolith,14,25.0,65.0,14.0,55.682351,37.461337,0
24977,brick,9,10.0,66.4,6.0,55.75072700000001,37.562272,1
24978,block,10,12.0,65.0,9.2,55.72561999999999,37.437334,0
24979,whiteBrick,4,5.0,66.0,9.0,55.7307,37.425306,0
24980,panel,2,9.0,66.0,7.0,55.66013,37.491413,0
24981,panel,7,12.0,66.7,9.1,55.721153,37.418739,0
24982,monolith,7,22.0,66.0,11.0,55.718816,37.426186,0
24983,panel,10,17.0,65.2,14.2,55.701328,37.507412,0
24984,panel,4,17.0,67.0,12.0,55.652095,37.469386,0
24985,monolith,8,18.0,65.1,10.0,55.737917,37.490973,0
24986,brick,4,14.0,66.0,8.0,55.74599,37.57068,1
24987,monolith,27,31.0,67.0,13.0,55.7559,37.506675,1
24988,monolith,2,19.0,65.0,15.3,55.694287,37.528621,1
24989,brick,5,5.0,65.0,6.5,55.733259,37.420168,0
24990,panel,9,12.0,65.0,8.0,55.732839,37.475764,0
24991,brick,13,25.0,67.0,10.0,55.675555,37.498932,0
24992,monolith,29,36.0,66.0,15.0,55.652999,37.47174,1
24993,panel,24,25.0,65.0,12.0,55.690811,37.469081,0
24994,panel,14,17.0,66.2,15.0,55.69937,37.503729,0
24995,panel,1,9.0,65.0,7.0,55.65388299999999,37.412379,0
24996,panel,10,12.0,65.0,10.0,55.72561999999999,37.437334,0
24997,brick,4,5.0,66.0,8.0,55.7307,37.425306,0
24998,whiteBrick,4,5.0,65.0,9.0,55.7307,37.425306,0
24999,monolithBrick,3,5.0,66.4,8.4,55.726015,37.422692,0
25000,block,3,12.0,65.2,10.9,55.730553,37.408723,0
25001,panel,9,12.0,65.0,8.0,55.76489100000001,37.485583,0
25002,panel,5,12.0,66.0,9.0,55.728819,37.409451,0
25003,monolith,4,16.0,65.0,8.0,55.72926,37.421713,0
25004,block,2,16.0,65.0,8.0,55.738546,37.505301,0
25005,panel,17,19.0,66.2,11.4,55.687868,37.461769,0
25006,panel,3,5.0,65.9,8.5,55.739564,37.470931,0
25007,panel,8,12.0,66.0,7.0,55.72694300000001,37.476366,0
25008,panel,18,25.0,65.0,10.0,55.68742099999999,37.464221,0
25009,panel,7,9.0,65.0,6.0,55.731577,37.53747,0
25010,block,11,12.0,65.0,9.0,55.73534300000001,37.423698,0
25011,panel,7,14.0,67.0,9.0,55.655331,37.383283,0
25012,panel,12,12.0,65.0,8.5,55.732839,37.475764,0
25013,brick,5,16.0,65.4,9.5,55.649195,37.38482800000001,0
25014,panel,2,17.0,67.0,16.0,55.700801,37.506442,0
25015,monolithBrick,22,23.0,66.5,15.0,55.694388,37.470554,0
25016,brick,8,14.0,67.0,8.2,55.736174,37.436346,0
25017,monolithBrick,7,25.0,67.0,10.0,55.670214,37.466979,0
25018,monolith,7,22.0,65.0,11.1,55.67377800000001,37.496695,0
25019,monolithBrick,6,22.0,67.0,18.0,55.709013,37.482978,0
25020,monolith,11,17.0,65.0,10.0,55.700162,37.50649600000001,0
25021,monolith,10,22.0,67.0,12.0,55.741673,37.419422,0
25022,monolith,10,22.0,66.2,12.0,55.741673,37.419422,0
25023,monolith,11,21.0,65.0,13.0,55.756386,37.50884,1
25024,monolithBrick,29,37.0,66.0,15.0,55.652999,37.47174,1
25025,monolith,14,17.0,65.0,10.0,55.691871,37.503019,1
25026,monolithBrick,17,23.0,67.0,10.0,55.714688,37.475845,1
25027,panel,1,19.0,66.0,12.0,55.68803000000001,37.460924,0
25028,brick,4,5.0,65.6,9.0,55.7307,37.425306,0
25029,brick,5,5.0,66.0,8.0,55.738683,37.48852,0
25030,monolithBrick,3,10.0,67.0,15.0,55.652502,37.347233,0
25031,block,2,16.0,65.0,8.0,55.738546,37.505301,0
25032,panel,1,16.0,67.0,7.2,55.705239,37.461499,0
25033,block,8,12.0,66.0,7.0,55.72694300000001,37.476366,0
25034,panel,3,12.0,65.0,7.0,55.717087,37.391583,0
